OMEGAWIKI	FGLOSS	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD
1510885	achiote	-	ACHIOTE	Agriculture and vegetation	A derivative of the achiote trees of tropical regions of the Americas used as a red food coloring and as a flavoring.	Noun	-
419370	acorn	-	ACORN	Agriculture and vegetation	Fruit of the oak tree.	Noun	8.66
1543597	alangalang	-	ALANG-ALANG GRASS	Agriculture and vegetation	It is a perennial high grown grass native to Asia, Australia and Africa.	Noun	-
1543597	grass	-	ALANG-ALANG GRASS	Agriculture and vegetation	It is a perennial high grown grass native to Asia, Australia and Africa.	Noun	-
848903	bamboo	-	BAMBOO	Agriculture and vegetation	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.	Noun	8.94
369665	banana	734724	BANANA	Agriculture and vegetation	The fruit of the banana tree.	Noun	8.84
1510869	banyan	-	BANYAN	Agriculture and vegetation	A tropical Indian fig tree, Ficus benghalensis, that has many aerial roots.	Noun	8.85
428797	baobab	-	BAOBAB TREE	Agriculture and vegetation	Genus of big trees (Adansonia) from the mallow family, growing in tropical countries	Noun	-
428797	tree	-	BAOBAB TREE	Agriculture and vegetation	Genus of big trees (Adansonia) from the mallow family, growing in tropical countries	Noun	-
5439	bark	-	BARK	Agriculture and vegetation	The exterior covering of the trunk and branches of a tree.	Noun	8.75
398106	barley	-	BARLEY	Agriculture and vegetation	A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.	Noun	8.44
880926	beech	-	BEECH	Agriculture and vegetation	Any tree of the genus Fagus, of temperate regions, having a smooth gray bark and bearing small, edible, triangular nuts.	Noun	8.62
1377747	betel	-	BETEL PEPPER VINE	Agriculture and vegetation	A vine of the species 'Piper betle' whose leaves are chewed for its medicinal properties.	Noun	-
1377747	pepper	-	BETEL PEPPER VINE	Agriculture and vegetation	A vine of the species 'Piper betle' whose leaves are chewed for its medicinal properties.	Noun	-
1377747	vine	-	BETEL PEPPER VINE	Agriculture and vegetation	A vine of the species 'Piper betle' whose leaves are chewed for its medicinal properties.	Noun	-
