NUMBER	GLOSS	OMEGAWIKI
1	and	6464
2	animal	194
3	back	5648
4	bad	5650
5	because	514093
6	blow	1375415
7	breathe	5998
8	child	7413
8	child	568
9	count	6026
10	cut	6043
11	day	5533
11	day	5477
12	dig	6024
13	dirty	5483
14	dull	6322	DULL
15	dust	1009
16	fall	5622
17	far	5997
18	father	5464
19	fear	345325
20	few	5500
21	fight	6030
22	five	156104
23	float	6457
24	flow	961244
25	flower	1487
26	fog	1502
27	four	6253
28	freeze	6042
29	fruit	6280
30	grass	1675
31	guts	5824
32	he	5454
33	here	1287831
34	hit	6044
35	hold - take	6060
35	hold - take	7077
36	how	5494
37	hunt	6046
38	husband	5432
39	ice	1837
40	if	6076
41	in	6077
42	lake	2061
43	laugh	5876
44	leftside	1499973
45	leg	5665
46	live(alive)	6028
47	mother	5463
48	narrow	5566
49	near	869106
50	old	5482
51	play	6010
52	pull	6071
53	push	6068
54	rightside	436024
55	correct	7026
56	river	3253
57	rope	5465
58	rotten	7031
59	rub	6062
60	salt	5599
61	scratch	6047
62	sea	6154
63	sew	6073
64	sharp	5987
65	short	6746
66	sing	5540
67	sky	7039
68	smell	6520
68	smell	6521
69	smooth	5487
70	snake	3388
71	snow	3455
72	spit	6051
73	split	6048
74	squeeze	6017
75	stab	6045
76	stick	5662
77	straight	5994
78	suck	6027
79	swell	6454
80	there	858309
81	they	352331
82	thick	5503
83	thin	5990
84	think	6309
84	think	6021
85	three	156096
86	throw	6072
87	tie	844574
88	turn	6526
88	turn	6055
89	vomit	5617
90	wash	6069
91	wet	7027
92	where	5492
93	wide	5502
94	wife	5429
95	wind	4160
96	wing	5528
97	heavy	5451
98	woods	4168
99	worm	5466
100	year	5478
