NUMBER	GLOSS	OMEGAWIKI
1	I	5450
2	you	5456
3	we	5455
4	this	5458
5	that	1149393
6	who	5490
7	what	5491
8	not	5495
9	all	1173416
10	many	5423
11	one	6244
12	two	6248
13	big	5437
14	long	5438
15	small	5509
16	woman	4165
17	man	6397
18	person	333730
19	fish	1460
20	bird	400
21	dog	966
22	louse	1510396
23	tree	3854
24	seed	3361
25	leaf	2124
26	root	3269
27	bark	5439
28	skin	3430
29	flesh	1539792
30	blood	411
31	bone	5983
32	grease	1510501
33	egg	340828
34	horn	401769
34	horn	5981
35	tail	5468
36	feather	5436
37	hair	446278
38	head	5527
39	ear	5510
40	eye	5511
41	nose	5471
42	mouth	332000
43	tooth	5946
44	tongue	1541242
44	tongue	5440
45	claw	828398
46	foot	5672
47	knee	5918
48	hand	5616
49	belly	5516
50	neck	5823
51	breasts	5992
52	heart	5475
53	liver	5476
54	drink	5991
55	eat	5827
56	bite	5993
57	see	6003
58	hear	5999
59	know	6004
60	sleep	6519
61	die	6245
62	kill	6023
63	swim	6050
64	fly	6052
65	walk	6054
66	come	6056
67	lie	6005
68	sit	6022
69	stand	6053
70	give	6059
71	say	6075
72	sun	5850
73	moon	5729
74	star	6041
75	water	4118
76	rain	3100
77	stone	3633
78	sand	3305
79	earth	2063
80	cloud	623
81	smoke	3451
82	fire	1446
83	ash	264
84	burn	1299599
85	path	4382
86	mountain	2421
87	red	1333710
88	green	6032
89	yellow	6031
90	white	5825
91	black	1341728
92	night	5486
93	hot	5637
94	cold	1178541
94	cold	5639
95	full	6040
96	new	5484
97	good	443659
98	round	5984
99	dry	5989
100	name	5995
101	and	6464
102	animal	194
103	back	5648
104	bad	5650
105	because	514093
106	blow	1375415
107	breathe	5998
108	child	568
109	count	6026
110	cut	6043
111	day	5533
112	dig	6024
113	dirty	5483
114	dull	1511061
115	dust	1009
116	fall	5622
117	far	5997
118	father	5464
119	fear	345325
120	few	5500
121	fight	6030
122	five	156104
123	float	6457
124	flow	961244
125	flower	1487
126	fog	1502
127	four	6253
128	freeze	6042
129	fruit	6280
130	grass	1675
131	guts	5824
132	he	5454
133	here	1287831
134	hit	6044
135	hold - take	6060
135	hold - take	7077
136	how	5494
137	hunt	6046
138	husband	5432
139	ice	1837
140	if	6076
141	in	6077
142	lake	2061
143	laugh	5876
144	leftside	1499731
145	leg	156660
145	leg	5665
145	leg	1541261
145	leg	1543636
146	live(alive)	6028
147	mother	5463
148	narrow	5566
149	near	869106
150	old	5482
151	play	6010
152	pull	6071
153	push	6068
154	rightside	436024
155	correct	7026
156	river	3253
157	rope	5465
158	rotten	7031
159	rub	6062
160	salt	5599
161	scratch	6047
162	sea	6154
163	sew	6073
164	sharp	5987
165	short	6746
166	sing	5540
167	sky	7039
168	smell	6520?
168	smell	6521?
169	smooth	5487
170	snake	3388
171	snow	3455
172	spit	6051
173	split	6048
174	squeeze	6017
175	stab	6045
176	stick	5662
177	straight	5994
178	suck	6027
179	swell	6454
180	there	858309
181	they	352331
182	thick	5503
183	thin	5990
184	think	6021
185	three	156096
186	throw	6072
187	tie	844574
188	turn	6526
189	vomit	5617
190	wash	6069
191	wet	7027
192	where	5492
193	wide	5502
194	wife	5429
195	wind	4160
196	wing	5528
197	heavy	5451
198	woods	4168
199	worm	5466
200	year	5478
