NUMBER	GLOSS	CHINESE	OMEGAWIKI	CGLOSS
1	sun	太阳	5850	SUN
2	moon	月亮	5729	MOON
3	star	星星	6041	STAR
4	thunder	打雷	509787	THUNDER
5	lightning	闪电	6811	LIGHTNING
6	rain	下雨	5523	RAINING
7	snow	下雪	5525	SNOWING
8	hail	冰雹	1187180	HAILING
9	freeze	结冰	6042	FREEZE
10	blow	刮风	1375415	BLOW
11	rainbow	虹	7041	RAINBOW
12	Dragon Boat Festival	端午节	1273978	FESTIVAL
13	Mid-autumn Festival	中秋节	1273978	FESTIVAL
14	New Year's Eve	除夕	5484	NEW
15	this year	今年	NA	THIS
16	next year	明年	NA	NEXT
17	last year	去年	NA	LAST, ENDURE
18	tomorrow	明天	5808	TOMORROW
19	yesterday	昨天	525186	YESTERDAY
20	today	今天	5630	TODAY
21	sunday	星期天	6993	SUNDAY
22	wheat	麦子	466721	WHEAT
23	broad bean	蚕豆	355931	BEAN
24	sunflower	向日葵	894122	SUNFLOWER
25	spinach	菠菜	420508	SPINACH
26	cabbage	卷心菜	344475	CABBAGE
27	tomato	西红柿	423688	TOMATO
28	aubergine	茄子	507273	AUBERGINE
29	sweet potato	白薯	1336889	SWEET POTATO
30	potato	土豆	160661	POTATO
31	pumpkin	南瓜	366683	PUMPKIN
32	pig	猪	5836	PIG
33	male pig	公猪	5868	BOAR
34	female pig	母猪	5871	SOW, FEMALE PIG
35	rooster	公鸡	6308	ROOSTER
36	chicken	母鸡	5778	CHICKEN
37	sparrow	麻雀	7891	SPARROW
38	mouse	老鼠	6237	MOUSE
39	bedbug	臭虫	880112	BEDBUG
40	house	房子	5517	HOUSE
41	flat	房间	6065
42	window	窗户	5932	WINDOW
43	doorsills	门坎	1395615	SILL
44	toilet	厕所	1444087	TOILET
45	kitchen	厨房	?
46	chimney	烟囱	569	CHIMNEY
47	table	桌子	7196	TABLE
48	stairs	楼梯	?
49	head	头	5527	HEAD
50	forehead	额头	1241509	FOREHEAD
51	face	脸	6410	FACE
52	nose	鼻子	5471	NOSE
53	neck	脖子	5823	NECK
54	left hand	左手	NA	NA
55	right hand	右手	NA	NA
56	fist	拳头	615259	FIST
57	forefinger	手指	158386	FOREFINGER
58	fingernail	指甲	5529	FINGERNAIL
59	knee	膝盖	5918	KNEE
60	leg	腿	5665	LEG
61	father	爸爸	5464	FATHER
62	mother	妈妈	5463	MOTHER
63	grandfather	祖父	5953	GRANDFATHER
64	grandmother	祖母	6247	GRANDMOTHER
65	uncle (fathers's elder brother)	伯父	936030	UNCLE
66	aunt (wife of father's elder brother)	伯母	5591	AUNT
67	uncle (father's younger brother)	叔父	936030	UNCLE
68	aunt (wife of father's younger brother)	叔母	5591	AUNT
69	maternal grandfather	祖父	5953	GRANDFATHER
70	maternal grandmother	外祖母	6247	GRANDMOTHER
71	uncle (mother's brother)	舅舅	936024	UNCLE
72	aunt (wife of mother's brother)	舅母	5591	AUNT
73	husband	丈夫	5432	HUSBAND
74	wife	妻子	5429	WIFE
75	son	儿子	6634	SON
