NUMBER	GLOSS	OMEGAWIKI
1	ye	5456
2	he	5454
3	they	352331
4	how	5494
5	when	5493
6	where	5492
7	here	1287831
8	there	858309
9	other	1406403
10	three	156096
11	four	6253
12	five	156104
13	few	5500
14	sky	7039
15	day	5533
16	fog	1502
17	wind	4160
18	flow	961244
19	sea	6154
20	lake	2061
21	rain	3100
22	wet	7027
23	wash	6069
24	snake	3388
25	worm	5466
26	back	5648
27	leg	5665
28	arm	6894
29	wing	5528
30	lip	154710
31	fur	1590
32	navel	7690
33	guts	5824
34	saliva	6259
35	milk	2358
36	fruit	6280
37	flower	1487
38	grass	1675
39	with	5844
40	in	6077
41	at	6078
42	if	6076
43	mother	5463
44	father	5464
45	husband	5432
46	wife	5429
47	salt	5599
48	ice	1837
49	snow	3455
50	freeze	6042
51	child	568
52	dark	335607
53	cut	6043
54	wide	5502
55	narrow	5566
56	far	5997
57	near	869106
58	thick	5503
59	thin	5990
60	short	6746
61	heavy	5451
62	dull	6322
63	sharp	5987
64	dirty	5483
65	bad	5650
66	rotten	7031
67	smooth	5487
68	straight	5994
69	correct	7026
70	left	1499731
71	right	436024
72	old	5482
73	rub	6062
74	pull	6071
75	push	6068
76	throw	6072
77	hit	6044
78	split	6048
79	pierce	1511162
80	dig	6024
81	tie	844574
82	sew	6073
83	fall	5622
84	swell	6454
85	think	6309
85	think	6021
86	sing	5540
87	smell	6520
88	puke	5617
89	suck	6027
90	blow	1375415
91	fear	6025
92	squeeze	6017
93	hold	6060
94	down	5797
95	up	6531
96	ripe	1378364
97	dust	1009
98	alive	6028
99	rope	5465
100	year	5478
