NUMBER	GLOSS	CHINESE	OMEGAWIKI
1	sky	天	7039
2	three	三	156096
3	chicken	鸡	5778
4	liver	  肝	5476
5	deep	深	6535
6	skin	皮	3430
7	come	来	6056
8	flow	留	961244
9	cow	牛	432006
10	long	长	5438
11	water	水	4118
12	fire	火	1446
13	hand	手	5616
14	early	早	331892
15	wait	等	6530
16	rise	上	630856
17	go down	下	980418
18	heavy	重	5451
19	sit	坐	6022
20	near	近	869106
21	go	去	334831
22	broken	破	160300
23	four	四	6253
24	half	半	352085
25	laugh	笑	5876
26	sick	病	7800
27	graph	字	439341
28	old	老	5482
29	tree	树	3854
30	two	二	6248
31	blood	血	411
32	seven	七	7004
33	bamboo	竹	848903
34	go out	出	480460
35	nail (finger- and toenail)	甲	156863
35	nail (finger- and toenail)	甲	1244402
36	month	月	5914
37	white	白	5825
38	ten	十	6312
39	stone	石	3633
40	mat	席	1405241
