OMEGAWIKI	WOLD	GLOSS	SEMANTICFIELD	DEFINITION	POS
OMEGAWIKI	WOLD	GLOSS	SEMANTICFIELD	DEFINITION	POS
7064	12.081	ABOVE	Spatial relations	In or to a higher place; higher than; on or over the upper surface.	Function word
751478	21.31	ACCUSE	Law	To lay a charge against; bring an accusation against.	Verb
419370	8.66	ACORN	Agriculture and vegetation	Fruit of the oak tree.	Noun
424928	21.34	ACQUIT	Law	To pronounce not guilty of criminal charges.	Verb
160397	23.385	ADDRESS	Modern world	Direction or superscription of a letter, or the name, title, and place of residence of the person addressed.	Noun
754888	21.16	ADJUDICATE	Law	To act as a judge.	Verb
992946	18.33	ADMIT	Speech and language	To admit to be true.	Verb
383952	7.64	ADOBE	The house	An unburnt brick dried in the sun made of clay and dried grasses.	Noun
756816	6.71	ADORNMENT	Clothing and grooming	Something that beautifies or adorns.	Noun
383985	21.43	ADULTERY	Law	Sex by a married person with someone other than their spouse.	Noun
1507412	9.251	ADZE	Basic actions and technology	A sharp tool with the blade at a right angle to the handle, used to shape pieces of wood	Noun
6944	12.01	AFTER	Spatial relations	Subsequent; following in time; later than.	Function word
7455	14.451	AFTERNOON	Time	The part of the day which follows noon, between noon and evening.	Noun
1412012	14.35	AGAIN	Time	Once more.	Function word
73	14.12	AGE	Time	The period of time that a person, animal or plant has lived or is expected to live.	Noun
106	1.71	AIR	The physical world	A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.	Noun
6549	23.16	AIRPLANE	Modern world	A powered heavier-than-air aircraft with fixed wings that obtains lift by the Bernoulli effect and is used for transportation.	Noun
1173416	13.14	ALL	Quantity	The totality of.	Function word
648694	3.97	ALLIGATOR	Animals	(Alligatoridae) A reptile belonging to the order Crocodilia.	Noun
904382	13.331	ALONE	Quantity	Without any others being included or involved.	Adjective
361044	22.14	ALTAR	Religion and belief	Table for religious ceremonies.	Noun
6902	14.31	ALWAYS	Time	At all times.	Function word
1117421	20.49	AMBUSH	Warfare and hunting	The act of concealing yourself and lying in wait to attack by surprise.	Noun
6861	2.56	ANCESTORS	Kinship	Person from whom a person is descended, whether on the father's or mother's side, at any number of generations.	Noun
806253	10.89	ANCHOR	Motion	Something, usually a heavy piece of metal with points which dig into the sea-bed, used to hold a boat in one position.	Noun
6464	17.51	AND	Cognition	Used to connect two homogeneous words or phrases.	Function word
1156554	16.42	ANGER	Emotions and values	Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).	Noun
194	3.11	ANIMAL	Animals	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	Noun
348298	4.371	ANKLE	The body	A joint formed where the foot and the leg meet.	Noun
1024716	18.43	ANNOUNCE	Speech and language	To make known by stating or announcing.	Verb
5610	18.32	ANSWER	Speech and language	To communicate a message of any form in reaction to something that has been asked or expressed, to the being who expressed it; to react verbally.	Verb
160271	3.817	ANT	Animals	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.	Noun
1385114	3.89	ANTEATER	Animals	A mammal of the suborder Vermilingua having elongated snouts and feeding on ants and termites.	Noun
6777	9.62	ANVIL	Basic actions and technology	A heavy iron block used by a blacksmith as a surface upon which metal can be struck and shaped.	Noun
430287	16.33	ANXIETY	Emotions and values	An unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath.	Noun
721097	10.56	APPROACH	Motion	To come near to; to move towards.	Verb
372196	7.58	ARCH	The house	An arch-shaped arrangement of trapezoidal stones, designed to redistribute downward force outward.	Noun
1505700	1.771	ARCTIC LIGHTS	The physical world	A natural light display in the sky particularly in the Arctic regions.	Noun
6894	4.31	ARM	The body	The upper limb, extending from the shoulder to the wrist and sometimes including the hand.	Noun
454297	20.31	ARMOUR	Warfare and hunting	Clothing that soldiers wear to protect themselves during combat. Historically made of leather or metal, today special materials like kevlar are used.	Noun
818235	4.312	ARMPIT	The body	The hollow under the upper part of the arm at the shoulder.	Noun
6414	20.15	ARMY	Warfare and hunting	A large, military force concerned mainly with ground operations.	Noun
5965	10.55	ARRIVE	Motion	To come to a destination.	Verb
420887	20.25	ARROW	Warfare and hunting	Pointed projectile that is shot with a bow.	Noun
819524	21.46	ARSON	Law	The crime of setting fire to a building or a property on purpose.	Noun
8473	4.151	ARTERY	The body	A blood vessel transporting blood away from the heart.	Noun
264	1.84	ASH	The physical world	The incombustible matter remaining after a substance has been incinerated.	Noun
7621	18.35	ASK	Speech and language	To desire a service or physical goods, often without returning the favor in kind.	Verb
5717	18.31	ASK	Speech and language	To ask (a question) to somebody; to seek an answer to.	Verb
834474	16.15	ASTONISHED	Emotions and values	Filled with the emotional impact of overwhelming surprise or shock,	Adjective
6078	12.013	AT	Spatial relations	With very little distance to or in a particular place or location.	Function word
337168	20.43	ATTACK	Warfare and hunting	The application of violent force to someone or something.	Noun
5591	2.52	AUNT	Kinship	A woman with one or more siblings who have one or more children; a sister of someone's father or mother.	Noun
5615	14.77	AUTUMN	Time	The season after summer and before winter, traditionally from September 21 to December 20 in the northern hemisphere and from March 21 to June 20 in the southern hemisphere.	Noun
1505847	6.37	AWL	Clothing and grooming	Pointed tool for marking or piercing wood or leather.	Noun
333200	9.25	AXE	Basic actions and technology	A tool for felling trees or chopping wood consisting of a heavy metallic head flattened to a blade on one side, and which is attached to a usually wooden handle.	Noun
7167	10.77	AXLE	Motion	The central part of a wheel, that usually does not turn.	Noun
5642	2.28	BABY	Kinship	A very young human being, from birth to a year old.	Noun
5648	4.19	BACK	The body	The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.	Noun
5650	16.72	BAD	Emotions and values	Not good; unfavorable; negative.	Adjective
1107818	16.19	BAD LUCK	Emotions and values	An undesirable event such as an accident.	Noun
978246	20.56	BAIT	Warfare and hunting	Anything that serves as an enticement.	Noun
1392775	5.24	BAKE	Food and drink	To cook (something) in an oven, but not in fat.	Verb
490061	4.93	BALD	The body	Without hair on the head.	Adjective
7785	12.83	BALL	Spatial relations	An object, generally spherical, used for playing games.	Noun
