ACM Computing Surveys	ACM Computing Surveys	Kukich1992
ACM Journal of Experimental Algorithmics	ACM Journal of Experimental Algorithmics	Huson1999
ALGORITHMICA	Algorithmica	Kanj2008a
ANTIQUITY	Antiquity	Renfrew2005
Acta Linguistica	Acta Linguistica	Trubetzkoy1939
Advances in Applied Mathematics	Advances in Applied Mathematics	Huang1991
Advances in Applied Probability	Advances in Applied Probability	Cavalli-Sforza1975
Allgemeine Monatsschrift für Wissenschaft und Literatur	Allgemeine Monatsschrift für Wissenschaft und Literatur	Schleicher1853,Schleicher1853b
American Anthropologist	American Anthropologist	Lackner1955,Elmendorf1962,Swadesh1954b,Swadesh1954a,Swadesh1967,Swadesh1962,Swadesh1953,Mckaughan1964,Teeter1965,Diebold1964,Proulx1988,Zengel1962,Grace1961,Moore1994,Sjoberg1956
American Antiquity	American Antiquity	Kroeber1940
American Educational Research Journal	American Educational Research Journal	Rong1997
American Journal of Health-System Pharmacy	American Journal of Health-System Pharmacy	Lambert1997
American Journal of Human Genetics	American Journal of Human Genetics	Barbujani1997,Rosser2000
American Journal of Physical Anthropology	American Journal of Physical Anthropology	Belle2007
Annali del R. Istituto Orientale di Napoli	Annali del Reale Istituto Orientale di Napoli	Bonfante1931
Annals of Human Genetics	Annals of Human Genetics	Lathrop1982,Edwards1963
Annals of the American Academy of Political and Social Science	Annals of the American Academy of Political and Social Science	Jackson1964,Cheng1925
Annu. Rev. Anthropol.	Annual Review of Anthropology	Mufwene2004
Annu. Rev. Microbiol.	Annu. Review of Microbiology	Koonin2001
Annual Review of Anthropology	Annual Review of Anthropology	Wang1979b,Wang1979,Scholfield1991,Michalove1998a,Shennan2008,Voegelin1973,Matisoff1991,Croft2008,Levinson1996
Annual Review of Genetics	Annual Review of Genetics	Koonin2005
Annual Review of Sociology	Annual Review of Sociology	Mohr1998
Annual review of information science and technology	Annual review of Information Science and Technology	Borner2003
Anthropological Linguistics	Anthropological Linguistics	Dobson1969,Grace1961a,Thomas1962,Manaster1996,Stern1962,Bender1971,hoenigswald1963,McNamara1961,Oswalt1971,Swadesh1959,Ramer1996a,Shields1980,Diebold1962,MaherMar.1966,Kloss1967,Miller1971,Campbell1993,Hymes1963,Campbell1997a,Lamb1959,Cadora1976,Olmsted1961,Priestly1973,Laughlin1975,Dobson1972
Anthropological Quarterly	Anthropological Quarterly	Sarana1965
Anthropology \& Education Quarterly	Anthropology \& Education Quarterly	Shuy1977
Anthropos	Anthropos	Yongzhong1997
Asiatick Researches: or, Transactions of the Society Instituted in Bengal for Inquiring into the History and Antiquities, the Arts, Sciences, and Literature, of Asia	Asiatick Researches	Jones1798
Australian Journal of Linguistics: Journal of the Australian Linguistic Society	Australian Journal of Linguistics	Alpher1999
Australian Systematic Botany	Australian Systematic Botany	Morrison2006
BEHAVIORAL AND BRAIN SCIENCES	Behavioral and Brain Sciences	Pinker1990,Pagel2006,Mesoudi2006
BIHP	Bulleting of teh Institute of History and Philology	Ding1933
BMC Bioinformatics	BMC Bioinformatics	Kestler2008,Raghava2003,Raghava2006
BMC Evolutionary Biology	BMC Evolutionary Biology	Mirkin2003
