UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
1	THE WORLD	world	1.1	the world	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:world_(4181)	e.g. The Amazon is the longest river in the world.	world	mundo		monde	mundo	Welt	мир
2	THE LAND	land	1.21	the land	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:land_(2063)	the hard surface of the earth, when compared to the area covered by sea	land	tierra		terre	terreno, terra	Erde, Land	земля, суша
3	THE SOIL	soil	1.212	the soil	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:board_(5481)	the substance that plants naturally grow in	soil	suelo	http://www.omegawiki.org/DefinedMeaning:soil_(3494), http://www.omegawiki.org/DefinedMeaning:ground_(161681)	sol	solo	Erde, Boden	почва
4	THE DUST	dust	1.213	the dust	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:dust_(1009)	dry powder consisting of extremely small bits of matter, found outside or inside buildings	dust	polvo		poussière	pó	Staub	пыль
5	THE MUD	mud	1.214	the mud	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:mud_(sediment)_(2428)	wet earth that has become soft and sticky	mud	lodo		boue	lama, lodo	Schlamm	ил 
6	THE SAND	sand	1.215	the sand	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:sand_(3305)	e.g. There is sand on this part of the beach.	sand	arena		sable	areia	Sand	песок 
7	THE MOUNTAIN	mountain	1.22	the mountain or hill	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:mountain_(2421)	large elevation	mountain	montaña		montagne, mont	montanha	Berg	гора
8	THE HILL	hill	1.22	the mountain or hill	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:hill_(1772)	smaller elevation	hill	loma		monticule, colline	morro	Hügel	холм
9	THE CLIFF	cliff	1.222	the cliff or precipice	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:cliff_(4261)	a high rock with a very steep side (often near the sea)	cliff	acantilado		<falaise, escarpement>	<penhasco, precipício>	Klippe	утес
10	THE PRECIPICE	precipice	1.222	the cliff or precipice	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:slope_(1875)	the slope of a high rock	slope, hillside	barranca, precipicio	http://www.omegawiki.org/DefinedMeaning:Abgrund_(692485)	précipice	<penhasco, precipício>	Abgrund	бездна
11	THE PLAIN	plain	1.23	the plain	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:plain_(2813)	expanse of level ground, open country	plain	pampa, llanura, campo		plaine	<campo, planície, savannah>	Ebene, Fläche	плоскость
12	THE VALLEY	valley	1.24	the valley	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:valley_(3938)	e.g. The valley was surrounded by high mountains.	valley	valle		vallée, val	<vale>	Tal	долина
13	THE ISLAND	island	1.25	the island	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:island_(2031)	e.g. Sicily is a Mediterranean island.	island	isla		île	<ilha>	Insel	остров
14	THE MAINLAND	mainland	1.26	the mainland	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:mainland_(1364993)	the main area of land that forms a country, as compared to islands near it	mainland	continente	http://www.omegawiki.org/DefinedMeaning:mainland_(1373397)	continent	<terra firme>	Festland	суша
15	THE SHORE	shore	1.27	the shore	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:shore_(1201459)	the land along the edge of a large body of water, such as an ocean or a lake	shore	ribera, costa, orilla		rivage, côte, plage	<margem, costa, praia>	Ufer	берег
16	THE CAVE	cave	1.28	the cave	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:cave_(513)	e.g. The hunter lit a torch and entered the cave.	cave	cueva		grotte	<caverna, gruta>	Höhle	пещера
17	THE WATER	water	1.31	the water	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:water_(substance)_(4118)	drinking water	water	agua		eau	<água>	Wasser	вода
18	THE SEA	sea	1.32	the sea	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:sea_(6154)	e.g. The ship is sailing in the sea.	sea	mar		mer	<mar>	Meer	море
19	CALM	calm	1.322	calm	Adjective	The physical world	http://www.omegawiki.org/DefinedMeaning:calm_(1505685)	smooth or having only gentle waves	calm	calma		bonace, embellie, calme	<calma, calmaria>	ruhig	спокойный 
20	ROUGH (OF SEA)	rough	1.323	rough(2)	Adjective	The physical world	http://www.omegawiki.org/DefinedMeaning:rough_(1505691)	with large waves	rough	agitado, borrascoso		trouble, tempête	<tempestuoso>	rau	бурный (о море)
21	THE FOAM	foam	1.324	the foam	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:foam_(7153)	e.g. Foam formed on the polluted river.	foam	espuma		écume, mousse	<espuma>	Schaum	пена
22	THE OCEAN	ocean	1.329	the ocean	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:ocean_(2608)	any of the world's major bodies of salt water'; generally larger than 'sea'	ocean	océano		océan, mer	<oceano>	Ozean	океан
23	THE LAKE	lake	1.33	the lake	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:lake_(2061)	e.g. This lake's water is safe for drinking.	lake	lago		lac	<lago>	See	озеро
