# CONCEPTICON
# Created by: QLC Research Group
# Created on: 2014-05-08 10:17

OMEGAWIKI	SEEALSO	GLOSS	ALIAS	DEFINITION	POS	WOLD
6685	-	A HUNDRED	HUNDRED	The cardinal number occurring after ninety-nine and before one hundred one, represented in Roman numerals as C and in Arabic numerals as 100.		Function word	13.105
904463	-	A LITTLE	-	To a small extent or degree.	Function word	13.99901
7755	-	A THOUSAND	THOUSAND	Ten times hundred.		Function word	13.106
7064	-	ABOVE	-	In or to a higher place; higher than; on or over the upper surface.	Function word	12.081
638652	-	ACCOMPANY	-	To go or travel in the company of someone.	Verb	10.99901
751478	541549	ACCUSE	-	To lay a charge against; bring an accusation against.	Verb	21.31
419370	-	ACORN	-	Fruit of the oak tree.	Noun	8.66
424928	-	ACQUIT	-	To pronounce not guilty of criminal charges.	Verb	21.34
160397	-	ADDRESS	-	Direction or superscription of a letter, or the name, title, and place of residence of the person addressed.	Noun	23.385
754888	-	ADJUDICATE	-	To act as a judge.	Verb	21.16
992946	439423	ADMIT	-	To admit to be true.	Verb	18.33
383952	-	ADOBE	-	An unburnt brick dried in the sun made of clay and dried grasses.	Noun	7.64
756816	-	ADORNMENT	-	Something that beautifies or adorns.	Noun	6.71
383985	-	ADULTERY	-	Sex by a married person with someone other than their spouse.	Noun	21.43
1507412	-	ADZE	-	A sharp tool with the blade at a right angle to the handle, used to shape pieces of wood	Noun	9.251
6944	-	AFTER	-	Subsequent; following in time; later than.	Function word	12.01
7455	-	AFTERNOON	-	The part of the day which follows noon, between noon and evening.	Noun	14.451
1412012	6952	AGAIN	-	Once more.	Function word	14.35
73	-	AGE	-	The period of time that a person, animal or plant has lived or is expected to live.	Noun	14.12
1510408	-	AGOUTI	-	A rodent similar in appearance to a guinea pig but having longer legs.	Noun	3.99902
106	-	AIR	-	A predominantly mechanical mixture of a variety of individual gases forming the earth&#039;s enveloping atmosphere.	Noun	1.71
6549	108	AIRPLANE	-	A powered heavier-than-air aircraft with fixed wings that obtains lift by the Bernoulli effect and is used for transportation.	Noun	23.16
1173416	-	ALL	-	The totality of.	Function word	13.14
648694	-	ALLIGATOR	-	(Alligatoridae) A reptile belonging to the order Crocodilia.	Noun	3.97
361201	-	ALMOND	-	Fruit of the almond tree (Prunus dulcis).	Noun	8.99901
904382	-	ALONE	-	Without any others being included or involved.	Adjective	13.331
361044	1314139	ALTAR	-	Table for religious ceremonies.	Noun	22.14
6902	6903	ALWAYS	-	At all times.	Function word	14.31
1117421	-	AMBUSH	-	The act of concealing yourself and lying in wait to attack by surprise.	Noun	20.49
1510881	-	AMOMUM	-	Any of several spices of family Zingiberaceae, including cardamom.	Noun	8.99902
162	-	AMPHIBIAN	-	A class of vertebrate animals characterized by a moist, glandular skin, gills at some stage of development, and no amnion during the embryonic stage.&#10;(Source: MGH)	Noun	3.99903
1510885	-	ANATTO	-	A derivative of the achiote trees of tropical regions of the Americas used as a red food coloring and as a flavoring.	Noun	8.99903
6861	-	ANCESTORS	-	Person from whom a person is descended, whether on the father&#039;s or mother&#039;s side, at any number of generations.	Noun	2.56
806253	-	ANCHOR	-	Something, usually a heavy piece of metal with points which dig into the sea-bed, used to hold a boat in one position.	Noun	10.89
6464	6466	AND	-	Used to connect two homogeneous words or phrases.		Function word	17.51;24.99901
1156554	-	ANGER	-	Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).	Noun	16.42
194	-	ANIMAL	-	Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.	Noun	3.11
348298	-	ANKLE	-	A joint formed where the foot and the leg meet.	Noun	4.371
1024716	728351	ANNOUNCE	-	To make known by stating or announcing.	Verb	18.43
5610	-	ANSWER	-	To communicate a message of any form in reaction to something that has been asked or expressed, to the being who expressed it; to react verbally.	Verb	18.32
160271	-	ANT	-	Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.	Noun	3.817
